Asset1,Asset2,Asset3,Date
0.04324261403598107,-0.045297224474957584,0.04150076134157919,2023-04-12
0.041187376585619724,0.020813582882967373,-0.007092313594843752,2023-04-13
-0.07828067151174199,-0.06168588115152732,-0.07991676558760724,2023-04-14
-0.043626560118459154,0.07705181530498521,-0.036830685151170016,2023-04-15
-0.02626446274455387,-0.032430847941566365,0.018789039339141115,2023-04-16
0.026625746810475356,-0.014197241192595361,0.05027015026753693,2023-04-17
0.08979309259006252,-0.03720284425343848,-0.04796564299252565,2023-04-18
-0.11038947414412802,-0.025194161932851872,0.02989892809348873,2023-04-19
-0.04269752610519084,0.03188200618599058,0.02559586101862299,2023-04-20
-0.13455073770959522,0.007387713782785826,-0.018245519110971442,2023-04-21
0.043843024986111964,0.019678477761369755,-0.019161491397012988,2023-04-22
0.03347943763883095,0.05305406556239915,-0.026133461940480582,2023-04-23
-0.008403162207134543,-0.054083314381061134,0.03556165951321315,2023-04-24
0.0379888170626851,-0.017362374907367396,0.08805059022111911,2023-04-25
0.019304359248018765,-0.05946653485290286,0.007547838415929674,2023-04-26
0.10975706069840008,-0.09283685139573994,-0.06974637333461807,2023-04-27
0.017298400442664463,0.07344142299715524,0.01596102850579071,2023-04-28
-0.045182424095787134,0.06051927081264949,0.03111975516070219,2023-04-29
0.06735282459163136,-0.0599679807335616,-0.03897687109896758,2023-04-30
0.07918038872884373,0.12192025593551492,-0.020777399646606336,2023-05-01
