Price1,Price2,Price3,Price4,Date
112.96039102317114,103.26372996975633,102.04497267391783,89.65072976850288,2023-03-02
113.00476482761218,103.27930005601807,102.07802120017438,89.69642068447202,2023-03-03
112.96424923007376,103.27538259745775,102.05618054746786,89.68044219998147,2023-03-04
113.00087078745227,103.31585556761674,102.07154384534927,89.69727214095256,2023-03-05
113.00493902835998,103.30529934853223,102.06940832950029,89.69581597906367,2023-03-06
113.02643451482925,103.27896327609919,102.06410529741606,89.66494169655893,2023-03-07
112.96159883458937,103.26063762890969,102.08323882547927,89.67267261776823,2023-03-08
113.01729911361764,103.34534737500637,102.09674021858348,89.72923441949065,2023-03-09
113.03214810153837,103.33774494336845,102.11173924957723,89.72825378619795,2023-03-10
113.00765102688344,103.3027180537542,102.09957057372552,89.71035337934258,2023-03-11
113.04834658689607,103.30775918954294,102.11014541185247,89.73247733331141,2023-03-12
112.98627528466133,103.30786674613951,102.07706052327008,89.6934330047614,2023-03-13
113.04556161427186,103.25488638677393,102.07616546700164,89.67382515500022,2023-03-14
113.04854818974228,103.26179232883358,102.03746721507207,89.64233321793932,2023-03-15
113.01692023925956,103.27725420515472,102.06940799201136,89.70383585545967,2023-03-16
112.98037482112868,103.30329696039328,102.07289221908101,89.69785118134146,2023-03-17
112.99729032041148,103.29252501822398,102.07274304052656,89.69968813619326,2023-03-18
112.9865670170012,103.26091024332082,102.07168305544027,89.67770763603129,2023-03-19
112.97518476908313,103.26873442877316,102.06644945321494,89.67412940717313,2023-03-20
113.00409992598523,103.2952639361962,102.08184444026206,89.68423107194765,2023-03-21
112.9709000945423,103.2755745261364,102.05346835557442,89.64575207780547,2023-03-22
112.98428363781277,103.28388219166392,102.06175780296442,89.66466734692935,2023-03-23
113.01150296530372,103.29197203648934,102.08531170478474,89.67327851782385,2023-03-24
112.97600954261124,103.28759202734392,102.06276254261513,89.6800752379119,2023-03-25
113.0149151311032,103.31431884010613,102.07378314017798,89.71778128377917,2023-03-26
112.96033873285769,103.2634000050494,102.0629882573146,89.66601961098384,2023-03-27
113.01099010705289,103.31164479153006,102.07952888634308,89.70704634637848,2023-03-28
112.97940320580429,103.26925053581427,102.06493510299163,89.69364795114201,2023-03-29
113.033729248631,103.31647724456411,102.09223069036045,89.72800778040937,2023-03-30
113.01542549888657,103.30105365825224,102.03846313030701,89.65768679038393,2023-03-31
113.01044556031307,103.29797708776353,102.08281173946992,89.70333693794106,2023-04-01
112.99312038384747,103.28164270172579,102.08167807297322,89.68956105100492,2023-04-02
113.0778880741382,103.30714626658,102.07771327991512,89.71582141480201,2023-04-03
112.98556276683107,103.3120109620952,102.10036548924052,89.68010499084637,2023-04-04
113.04398557267672,103.29169544070645,102.07557515712746,89.68692537338958,2023-04-05
113.00260506050657,103.26844314011316,102.06657715290099,89.68922765844556,2023-04-06
112.945037460565,103.28902819304278,102.0576406173906,89.6649930501432,2023-04-07
113.00656620759524,103.30417739740658,102.0873533078005,89.68275244399662,2023-04-08
112.98753686581479,103.31140466354715,102.09844762842516,89.72216225589968,2023-04-09
112.96876896245853,103.28717694532182,102.06325022977488,89.67656594809222,2023-04-10
112.98201652517457,103.31270990514832,102.11377088198329,89.70986890646968,2023-04-11
112.9878122619308,103.30110391527182,102.06805740971467,89.68629127828214,2023-04-12
112.90607054616767,103.26348314537096,102.05795801481969,89.66422420842613,2023-04-13
113.00538250100769,103.31048860605627,102.09646858468228,89.7135013678006,2023-04-14
112.94003362341815,103.26809916836488,102.05901542000868,89.69346051646478,2023-04-15
112.98898988186386,103.31484421856148,102.10142137708097,89.69677319689355,2023-04-16
112.9770016037248,103.30489662227811,102.09238366884138,89.68110565951272,2023-04-17
112.98374180525883,103.28738884808422,102.08261336325394,89.70327498991307,2023-04-18
113.01497631605135,103.29066055392778,102.08041843669747,89.7053336681427,2023-04-19
112.98379817848702,103.27596232793097,102.0718165607385,89.70344884621001,2023-04-20
112.93435311885906,103.25381167006348,102.03261578414123,89.66685186485068,2023-04-21
112.96602840641071,103.28266290155099,102.07557073173851,89.66050370289699,2023-04-22
112.96493585223398,103.29421432106264,102.08582622553706,89.68911445334933,2023-04-23
112.9759728834913,103.27719145502103,102.06870210176585,89.68619424566808,2023-04-24
113.00427036122623,103.30162794269046,102.07696195778837,89.68758957621439,2023-04-25
112.96926296109983,103.31478428414061,102.0869307380288,89.69324619441716,2023-04-26
112.98038673492755,103.2915108846119,102.1072265550195,89.70333664367381,2023-04-27
112.97429421739105,103.28454770034227,102.03837037309252,89.6746547751098,2023-04-28
113.02599506347511,103.30168955053293,102.06857521542194,89.68816027958351,2023-04-29
112.96077066994934,103.29760893752865,102.05907223647158,89.67776941594296,2023-04-30
113.0060427702992,103.31004319264322,102.08581198351712,89.69887694153122,2023-05-01
